U n e m p l o y m e n t   U N R A T E,R e a l   G D P   G D P C 1,I n f l a t i o n   C O R E S T I C K M 1 5 9 S F R B A T L,1 0 - 3   Y i e l d   C u r v e   T 1 0 Y 3 M
5.8,11279.932,3.164264289,
,,,2.61
,,,2.61
,,,2.68
,,,2.67
,,,2.68
,,,
,,,2.59
,,,2.57
,,,2.59
,,,2.61
,,,2.58
,,,2.6
,,,2.63
,,,2.66
,,,2.66
,,,2.64
,,,2.68
,,,2.75
,,,2.76
,,,2.66
,,,2.61
5.6,,3.128282179,2.69
,,,2.73
,,,2.71
,,,2.71
,,,2.63
,,,2.64
,,,2.6
,,,2.6
,,,
,,,2.48
,,,2.39
,,,2.45
,,,2.52
,,,2.51
,,,2.5
,,,2.51
,,,2.37
,,,
,,,2.35
,,,2.28
,,,2.26
,,,2.19
5.5,,2.901446577,2.21
,,,2.02
,,,1.8
,,,1.79
,,,1.99
,,,1.96
,,,1.97
,,,1.92
,,,1.88
,,,1.96
,,,2.09
,,,2.1
,,,2.06
,,,2.18
,,,2.24
,,,2.23
,,,2.17
,,,
,,,2.02
,,,2.12
,,,2.16
,,,2.16
5.6,11319.951,3.144200833,
,,,
,,,1.93
,,,1.97
,,,2.0
,,,1.97
,,,1.89
,,,1.93
,,,2.0
,,,2.02
,,,1.97
,,,
,,,1.81
,,,1.84
,,,1.87
,,,1.91
,,,1.86
,,,1.88
,,,1.86
,,,1.82
,,,1.74
,,,1.69
,,,1.6
5.4,,3.124100115,1.59
,,,1.66
,,,1.53
,,,1.55
,,,1.54
,,,1.59
,,,1.63
,,,1.65
,,,1.63
,,,1.55
,,,1.51
,,,1.55
,,,1.57
,,,
,,,1.52
,,,1.49
,,,1.46
,,,1.45
,,,1.32
,,,1.28
5.4,,3.167481169,1.29
,,,1.37
,,,1.45
,,,1.47
,,,1.48
,,,1.41
,,,1.39
,,,1.27
,,,1.25
,,,1.16
,,,1.17
,,,1.13
,,,1.2
,,,1.19
,,,1.24
,,,1.3
,,,1.32
,,,1.24
,,,1.23
,,,1.27
,,,1.32
,,,1.3
,,,1.32
5.8,11353.721,3.306684647,
,,,1.2
,,,1.21
,,,1.24
,,,1.24
,,,1.25
,,,1.27
,,,1.25
,,,1.24
,,,1.28
,,,
,,,1.24
,,,1.25
,,,1.26
,,,1.25
,,,1.22
,,,1.18
,,,1.16
,,,1.16
,,,1.17
,,,1.2
5.6,,3.355294523,1.18
,,,1.15
,,,1.12
,,,1.07
,,,0.95
,,,0.89
,,,0.8
,,,0.84
,,,0.84
,,,0.8
,,,0.74
,,,0.7
,,,0.67
,,,0.74
,,,0.74
,,,0.72
,,,0.66
,,,0.57
,,,0.55
,,,0.56
,,,
,,,0.49
,,,0.49
5.6,,3.332283478,0.53
,,,0.52
,,,0.4
,,,0.39
,,,0.46
,,,0.46
,,,0.63
,,,0.64
,,,0.53
,,,0.54
,,,0.53
,,,0.55
,,,0.5
,,,0.51
,,,0.53
,,,0.5
,,,0.52
,,,0.59
,,,0.56
,,,0.53
,,,0.61
,,,0.61
5.7,11450.31,3.386948974,
,,,0.53
,,,
,,,0.51
,,,0.52
,,,0.5
,,,0.51
,,,0.53
,,,0.55
,,,0.54
,,,0.56
,,,0.59
,,,0.64
,,,0.85
,,,0.83
,,,0.92
,,,0.85
,,,0.81
,,,0.85
,,,0.85
,,,0.91
,,,0.85
5.7,,3.23814109,0.89
,,,0.85
,,,0.94
,,,0.92
,,,0.91
,,,0.92
,,,0.91
,,,0.94
,,,1.0
,,,0.99
,,,0.95
,,,0.94
,,,0.96
,,,0.96
,,,0.92
,,,0.94
,,,1.0
,,,0.98
,,,0.88
,,,0.86
,,,0.86
,,,0.87
,,,0.83
5.6,,3.351697522,0.77
,,,
,,,0.69
,,,0.69
,,,0.71
,,,0.72
,,,0.74
,,,0.69
,,,0.71
,,,0.64
,,,0.65
,,,0.76
,,,0.78
,,,0.76
,,,0.81
,,,0.9
,,,0.93
,,,0.83
,,,0.88
,,,0.84
,,,0.77
5.5,11528.067,3.46411606,
,,,0.62
,,,0.62
,,,0.65
,,,0.62
,,,0.59
,,,
,,,0.6
,,,0.62
,,,0.61
,,,0.52
,,,0.48
,,,0.54
,,,0.58
,,,0.57
,,,0.61
,,,0.69
,,,0.64
,,,0.61
,,,0.68
,,,0.64
,,,0.57
,,,0.55
5.6,,3.37996065,0.5
,,,0.45
,,,0.47
,,,0.44
,,,0.46
,,,0.4
,,,0.42
,,,0.42
,,,0.39
,,,0.42
,,,0.44
,,,0.41
,,,0.41
,,,0.43
,,,0.4
,,,0.41
,,,
,,,0.43
,,,0.38
,,,0.35
,,,0.35
,,,0.28
5.6,,3.379829487,0.26
,,,0.17
,,,0.18
,,,0.19
,,,0.22
,,,0.23
