U n e m p l o y m e n t   U N R A T E,R e a l   G D P   G D P C 1,I n f l a t i o n   C O R E S T I C K M 1 5 9 S F R B A T L,1 0 - 3   Y i e l d   C u r v e   T 1 0 Y 3 M
,,,3.06
,,,3.08
,,,3.09
,,,3.26
,,,3.24
,,,3.19
,,,3.27
,,,3.29
,,,3.34
,,,3.43
,,,3.36
,,,3.53
6.1,,2.155287,3.49
,,,3.38
,,,3.51
,,,3.37
,,,3.35
,,,3.31
,,,3.42
,,,3.42
,,,3.62
,,,3.59
,,,3.6
,,,3.53
,,,3.42
,,,3.49
,,,3.56
,,,3.5
,,,3.51
,,,3.49
,,,3.54
,,,3.43
,,,3.47
6.1,,2.174311,
,,,3.63
,,,3.63
,,,3.55
,,,3.39
,,,3.44
,,,3.41
,,,3.32
,,,3.39
,,,3.31
,,,3.32
,,,3.36
,,,3.25
,,,3.23
,,,3.22
,,,3.31
,,,3.31
,,,3.21
,,,3.18
,,,3.1
,,,3.13
,,,3.01
6.0,15162.76,2.150681,3.01
,,,3.09
,,,3.27
,,,3.23
,,,3.35
,,,3.36
,,,3.41
,,,3.37
,,,
,,,3.44
,,,3.5
,,,3.54
,,,3.48
,,,3.46
,,,3.45
,,,3.33
,,,3.38
,,,3.29
,,,3.32
,,,3.27
,,,3.35
,,,3.4
,,,3.37
5.8,,2.025956,
,,,3.44
,,,3.38
,,,3.42
,,,3.49
,,,3.52
,,,3.52
,,,
,,,3.49
,,,3.36
,,,3.27
,,,3.22
,,,3.21
,,,3.29
,,,3.21
,,,3.21
,,,3.27
,,,3.24
,,,3.31
,,,
,,,3.41
5.7,,1.967767,3.45
,,,3.44
,,,3.47
,,,3.45
,,,3.31
,,,3.36
,,,3.39
,,,3.37
,,,3.37
,,,3.35
,,,3.38
,,,3.33
,,,3.29
,,,3.27
,,,3.27
,,,3.28
,,,3.38
,,,3.3
,,,
,,,3.3
,,,3.34
,,,3.35
,,,3.32
5.7,15248.68,1.949813,
,,,3.45
,,,3.5
,,,3.38
,,,3.36
,,,3.39
,,,3.24
,,,3.22
,,,3.16
,,,3.13
,,,3.11
,,,3.15
,,,
,,,3.19
,,,3.16
,,,3.11
,,,3.19
,,,3.26
,,,3.2
,,,3.28
,,,3.28
,,,3.24
5.6,,2.037157,
,,,3.24
,,,3.19
,,,3.21
,,,3.26
,,,3.19
,,,3.15
,,,3.18
,,,3.12
,,,3.17
,,,3.13
,,,
,,,3.1
,,,3.11
,,,3.11
,,,3.16
,,,3.08
,,,3.07
,,,3.06
,,,3.09
,,,3.03
5.8,,2.126567,3.03
,,,3.08
,,,3.1
,,,3.08
,,,2.91
,,,2.82
,,,2.77
,,,2.78
,,,2.77
,,,2.82
,,,2.82
,,,2.74
,,,2.78
,,,2.83
,,,2.86
,,,2.79
,,,2.78
,,,2.8
,,,2.81
,,,2.9
,,,2.95
,,,2.95
,,,2.91
5.6,15366.85,2.247883,2.98
,,,3.2
,,,3.3
,,,3.25
,,,3.24
,,,3.28
,,,
,,,3.31
,,,3.41
,,,3.45
,,,3.47
,,,3.43
,,,3.43
,,,3.46
,,,3.46
,,,3.43
,,,3.5
,,,3.47
,,,3.45
,,,3.53
,,,3.58
,,,3.55
5.6,,2.228612,
,,,3.53
,,,3.56
,,,3.62
,,,3.63
,,,3.72
,,,3.73
,,,3.74
,,,3.79
,,,3.85
,,,3.8
,,,3.64
,,,3.69
,,,3.75
,,,3.69
,,,3.73
,,,3.68
,,,3.66
,,,3.59
,,,3.54
,,,3.58
,,,
5.6,,2.370793,3.54
,,,3.57
,,,3.54
,,,3.57
,,,3.54
,,,3.51
,,,3.55
,,,3.51
,,,
,,,3.48
,,,3.35
,,,3.44
,,,3.43
,,,3.43
,,,3.37
,,,3.4
,,,3.42
,,,3.37
,,,3.35
,,,3.38
,,,3.32
,,,3.29
5.5,15512.619,2.254997,3.35
,,,3.18
,,,
,,,3.15
,,,3.2
,,,3.22
,,,3.21
,,,3.12
,,,3.16
,,,3.16
,,,3.15
,,,3.03
,,,3.03
,,,3.11
,,,3.15
,,,3.11
,,,3.07
,,,3.04
,,,3.16
,,,3.15
,,,3.15
,,,3.05
5.4,,2.249671,
,,,2.98
,,,2.97
,,,2.96
,,,2.95
,,,2.8
,,,2.77
,,,2.82
,,,2.86
,,,2.84
,,,2.78
,,,2.77
,,,2.73
,,,2.74
,,,2.74
,,,2.75
,,,2.74
,,,2.74
,,,2.72
,,,2.67
,,,2.67
,,,2.58
,,,2.54
5.4,,2.23192,2.55
,,,2.6
,,,2.65
,,,
,,,2.6
,,,2.53
,,,2.58
,,,2.53
,,,2.5
,,,2.49
,,,2.51
,,,2.41
,,,2.43
,,,2.34
,,,2.33
,,,2.29
,,,2.3
,,,2.31
,,,2.27
,,,2.3
,,,2.38
,,,2.43
5.5,15670.88,2.229333,2.5
,,,2.48
,,,2.47
,,,2.52
,,,2.56
,,,2.44
,,,
,,,2.4
,,,2.37
,,,2.29
,,,2.31
,,,2.26
,,,2.25
,,,2.19
,,,2.16
,,,2.15
,,,2.09
,,,2.1
,,,2.19
,,,2.18
,,,2.14
5.4,,2.293797,2.12
,,,2.13
,,,2.13
,,,2.12
,,,2.18
,,,2.15
,,,2.14
,,,2.17
,,,
,,,2.12
,,,2.08
,,,2.07
,,,2.01
,,,1.99
,,,2.05
,,,1.98
,,,2.0
,,,2.02
,,,
,,,2.03
,,,2.11
,,,2.13
5.4,,2.304188,2.16
,,,2.18
,,,2.06
,,,1.99
,,,1.98
,,,1.9
,,,1.95
,,,1.91
,,,1.92
,,,1.93
,,,1.88
,,,1.99
,,,2.01
,,,1.99
,,,1.98
,,,2.03
,,,2.04
,,,
,,,2.04
,,,2.06
,,,2.11
,,,2.05
,,,2.02
5.3,15844.727,2.308836,
,,,1.91
,,,1.96
,,,1.96
,,,1.98
,,,1.97
,,,1.93
,,,1.92
,,,1.91
,,,1.85
,,,1.86
,,,
,,,1.82
,,,1.83
,,,1.82
,,,1.8
,,,1.77
,,,1.81
,,,1.8
,,,1.78
,,,1.7
,,,1.63
5.4,,2.279146,1.64
,,,1.64
,,,1.7
,,,1.62
,,,1.56
,,,1.56
,,,1.49
,,,1.56
,,,1.55
,,,1.49
,,,1.51
,,,1.59
,,,1.61
,,,1.66
,,,
,,,1.62
,,,1.6
,,,1.6
,,,1.53
,,,1.6
5.2,,2.238654,1.63
,,,1.64
,,,1.63
,,,1.56
,,,1.55
,,,1.63
,,,1.76
,,,1.73
,,,1.8
,,,1.72
,,,1.73
,,,1.72
,,,1.68
,,,1.7
,,,1.68
,,,1.74
,,,1.78
,,,1.76
,,,
,,,1.8
,,,1.76
,,,1.73
,,,1.71
5.2,15922.782,2.231837,1.66
,,,1.67
,,,1.69
,,,1.68
,,,1.72
,,,1.71
,,,1.69
,,,1.62
,,,1.61
,,,1.59
,,,1.48
,,,1.37
,,,1.3
,,,1.35
,,,1.44
,,,1.33
,,,1.33
,,,1.37
,,,1.36
,,,1.31
,,,1.31
5.1,,2.350311,
,,,1.28
,,,1.3
,,,1.33
,,,1.38
,,,1.41
,,,1.38
,,,1.33
,,,1.34
,,,1.3
,,,1.29
,,,1.24
,,,1.24
,,,1.21
,,,1.24
,,,1.23
,,,1.1
,,,1.1
,,,1.13
,,,1.14
,,,1.11
,,,
,,,1.01
5.0,,2.191008,0.94
,,,0.92
,,,0.97
,,,0.94
,,,0.9
,,,0.93
,,,0.99
,,,1.04
,,,1.06
,,,1.12
,,,1.12
,,,1.11
,,,1.1
,,,1.09
,,,1.04
,,,0.92
,,,0.89
,,,0.83
,,,0.75
,,,0.83
,,,0.86
,,,0.81
5.0,16047.587,2.292571,0.89
,,,
,,,0.89
,,,0.89
,,,0.9
,,,0.94
,,,0.92
,,,0.94
,,,0.95
,,,0.96
,,,0.92
,,,0.92
,,,0.89
,,,0.87
,,,0.93
,,,0.85
,,,0.81
,,,0.81
,,,0.87
,,,0.79
,,,0.86
4.9,,2.256804,0.84
,,,0.85
,,,0.84
,,,0.85
,,,0.88
,,,0.88
,,,0.89
,,,0.89
,,,0.81
,,,0.72
,,,0.73
,,,0.69
,,,0.76
,,,0.71
,,,0.69
,,,0.69
,,,0.67
,,,0.66
,,,0.64
,,,0.65
,,,0.66
,,,0.62
,,,0.5
5.0,,2.326514,0.54
,,,0.57
,,,
,,,0.57
,,,0.66
,,,0.67
,,,0.65
,,,0.67
,,,0.67
,,,0.75
,,,0.77
,,,0.76
,,,0.67
,,,0.65
,,,0.78
,,,0.72
,,,0.77
,,,0.78
,,,0.81
,,,0.8
,,,0.75
,,,0.79
5.0,16136.734,2.318218,
,,,0.78
,,,0.75
,,,0.78
,,,0.76
,,,0.72
,,,
,,,0.66
,,,0.75
,,,0.73
,,,0.7
,,,0.64
,,,0.64
,,,0.61
,,,0.61
,,,0.52
,,,0.53
,,,0.61
,,,0.7
,,,0.69
,,,0.65
,,,0.59
5.0,,2.424911,0.62
,,,0.67
,,,0.71
,,,0.68
,,,0.69
,,,0.61
,,,0.65
,,,0.58
,,,
,,,0.59
,,,0.55
,,,0.49
,,,0.45
,,,0.49
,,,0.46
,,,0.5
,,,0.52
,,,
,,,0.48
,,,0.43
,,,0.5
,,,0.54
4.9,,2.463042,0.55
,,,0.53
,,,0.53
,,,0.45
,,,0.49
,,,0.53
,,,0.6
,,,0.66
,,,0.63
,,,0.56
,,,0.54
,,,0.52
,,,0.49
,,,0.52
,,,0.51
,,,0.46
,,,0.39
,,,
,,,0.36
,,,0.43
,,,0.36
,,,0.31
4.7,16353.835,2.444816,
,,,
,,,0.21
,,,0.17
,,,0.16
,,,0.16
,,,0.15
,,,0.14
,,,0.16
,,,0.1
,,,0.03
,,,
,,,-0.04
,,,-0.01
,,,0.03
,,,0.02
,,,-0.02
,,,0.0
,,,0.07
,,,0.08
,,,0.07
,,,0.06
,,,0.06
4.8,,2.492938,0.1
,,,0.09
,,,0.06
,,,0.07
,,,0.08
,,,0.06
,,,0.02
,,,0.06
,,,0.03
,,,0.07
,,,0.06
,,,0.04
,,,0.0
,,,
,,,0.01
,,,-0.04
,,,-0.03
,,,-0.02
,,,-0.03
,,,-0.07
4.7,,2.575349,-0.01
,,,0.02
,,,0.06
,,,0.14
,,,0.14
,,,0.15
,,,0.14
,,,0.14
,,,0.16
,,,0.12
,,,0.1
,,,0.03
,,,0.04
,,,0.0
,,,0.02
,,,0.01
,,,0.06
,,,0.02
,,,0.07
,,,0.14
,,,0.18
,,,0.25
,,,0.23
4.7,16396.151,2.67529,
,,,0.21
,,,0.19
,,,0.17
,,,0.22
,,,0.28
,,,0.28
,,,0.23
,,,0.28
,,,0.35
,,,
,,,0.29
,,,0.27
,,,0.31
,,,0.31
,,,0.26
,,,0.24
,,,0.28
,,,0.33
,,,0.31
,,,0.3
4.6,,2.778406,0.32
,,,0.31
,,,0.33
,,,0.36
,,,0.29
,,,0.25
,,,0.25
,,,0.25
,,,0.32
,,,0.34
,,,0.29
,,,0.27
,,,0.33
,,,0.25
,,,0.23
,,,0.21
,,,0.23
,,,0.21
,,,0.25
,,,0.22
,,,
,,,0.25
,,,0.26
4.6,,3.029284,0.28
,,,0.19
,,,0.17
,,,0.15
,,,0.16
,,,0.13
,,,0.1
,,,0.06
,,,0.08
,,,0.15
,,,0.25
,,,0.25
,,,0.21
,,,0.23
,,,0.24
,,,0.28
,,,0.25
,,,0.22
,,,0.16
,,,0.24
,,,0.21
,,,0.14
4.7,16420.738,3.089187,
,,,0.07
,,,
,,,0.22
,,,0.19
,,,0.12
,,,0.07
,,,0.05
,,,0.04
,,,0.03
,,,0.01
,,,-0.04
,,,0.0
,,,-0.05
,,,-0.05
,,,-0.05
,,,-0.05
,,,-0.06
,,,-0.07
,,,-0.03
,,,-0.07
,,,-0.11
4.7,,3.219901,-0.13
,,,-0.14
,,,-0.15
,,,-0.18
,,,-0.19
,,,-0.17
,,,-0.15
,,,-0.12
,,,-0.1
,,,-0.12
,,,-0.17
,,,-0.2
,,,-0.22
,,,-0.26
,,,-0.29
,,,-0.28
,,,-0.27
,,,-0.28
,,,-0.32
,,,-0.3
,,,-0.28
,,,-0.29
,,,-0.31
4.5,,3.207054,-0.29
,,,
,,,-0.22
,,,-0.17
,,,-0.17
,,,-0.15
,,,-0.13
,,,-0.12
,,,-0.14
,,,-0.16
,,,-0.16
,,,-0.13
,,,-0.2
,,,-0.2
,,,-0.27
,,,-0.33
,,,-0.32
,,,-0.29
,,,-0.28
,,,-0.24
,,,-0.25
4.4,16561.866,3.285968,
,,,-0.26
,,,-0.28
,,,-0.36
,,,-0.33
,,,-0.25
,,,
,,,-0.25
,,,-0.24
,,,-0.27
,,,-0.24
,,,-0.3
,,,-0.31
,,,-0.32
,,,-0.31
,,,-0.3
,,,-0.29
,,,-0.3
,,,-0.34
,,,-0.39
,,,-0.43
,,,-0.42
,,,-0.47
4.5,,3.141252,-0.5
,,,-0.47
,,,-0.37
,,,-0.38
,,,-0.42
,,,-0.46
,,,-0.47
,,,-0.51
,,,-0.48
,,,-0.52
,,,-0.48
,,,-0.43
,,,-0.48
,,,-0.48
,,,-0.49
,,,-0.48
,,,
,,,-0.49
,,,-0.51
,,,-0.53
,,,-0.52
,,,-0.57
4.4,,3.1159,-0.6
,,,-0.58
,,,-0.54
,,,-0.51
,,,-0.49
,,,-0.41
,,,-0.41
,,,-0.44
,,,-0.36
,,,-0.36
,,,-0.31
,,,-0.36
,,,-0.36
,,,-0.36
,,,-0.42
,,,-0.36
,,,
,,,-0.38
,,,-0.31
,,,-0.3
,,,-0.31
4.6,16611.69,3.136734,
,,,-0.39
,,,-0.38
,,,-0.42
,,,-0.4
,,,-0.42
,,,-0.42
,,,-0.4
,,,-0.37
,,,-0.32
,,,
,,,-0.36
,,,-0.33
,,,-0.37
,,,-0.36
,,,-0.37
,,,-0.33
,,,-0.32
,,,-0.27
,,,-0.25
,,,-0.24
,,,-0.25
,,,-0.29
4.5,,3.152428,-0.29
,,,-0.31
,,,-0.34
,,,-0.37
,,,-0.41
,,,-0.43
,,,-0.36
,,,-0.38
,,,-0.35
,,,-0.42
,,,-0.47
,,,-0.48
,,,
,,,-0.51
,,,-0.49
,,,-0.46
,,,-0.5
,,,-0.56
,,,-0.64
,,,-0.6
4.4,,3.099888,-0.59
,,,-0.6
,,,-0.59
,,,-0.61
,,,-0.62
,,,-0.59
,,,-0.51
,,,-0.53
,,,-0.59
,,,-0.53
,,,-0.51
,,,-0.49
,,,-0.48
,,,-0.5
,,,-0.52
,,,-0.46
,,,-0.46
,,,-0.46
,,,-0.46
,,,-0.44
,,,-0.41
,,,-0.39
4.5,16713.314,2.957465,
,,,-0.39
,,,-0.38
,,,-0.41
,,,-0.36
,,,-0.29
,,,-0.27
,,,-0.3
,,,-0.3
,,,-0.29
,,,-0.26
,,,-0.27
,,,-0.32
,,,-0.34
,,,-0.31
,,,-0.31
,,,-0.32
,,,-0.35
,,,-0.31
,,,-0.27
,,,-0.24
,,,-0.28
4.4,,2.774199,-0.26
,,,-0.26
,,,-0.22
,,,-0.25
,,,-0.25
,,,-0.27
,,,-0.21
,,,-0.22
,,,-0.2
,,,-0.16
,,,-0.12
,,,-0.04
,,,-0.05
,,,-0.03
,,,-0.09
,,,-0.1
,,,-0.05
,,,-0.05
,,,-0.02
,,,
,,,-0.02
,,,0.03
,,,0.17
4.6,,2.621714,0.16
,,,0.12
,,,0.15
,,,0.17
,,,0.31
,,,0.35
,,,0.41
,,,0.54
,,,0.54
,,,0.58
,,,0.6
,,,0.52
,,,0.44
,,,0.4
,,,0.46
,,,0.41
,,,0.27
,,,0.28
,,,0.32
,,,0.34
,,,0.21
4.7,16809.587,2.525322,
,,,0.05
,,,0.1
,,,
,,,0.21
,,,0.24
,,,0.19
,,,0.08
,,,0.14
,,,0.16
,,,0.14
,,,0.07
,,,0.12
,,,0.06
,,,0.06
,,,-0.01
,,,-0.05
,,,-0.08
,,,-0.07
,,,-0.13
,,,-0.05
,,,-0.14
,,,-0.18
4.6,,2.459164,-0.13
,,,-0.12
,,,-0.14
,,,-0.16
,,,-0.17
,,,-0.11
,,,-0.02
,,,0.24
,,,0.04
,,,0.09
,,,0.48
,,,0.81
,,,0.92
,,,1.52
,,,1.01
,,,0.96
,,,0.73
,,,0.39
,,,-0.03
,,,0.13
,,,0.59
,,,0.67
,,,0.53
4.7,,2.475003,
,,,
,,,0.09
,,,0.12
,,,0.22
,,,0.31
,,,0.38
,,,0.26
,,,0.38
,,,0.41
,,,0.46
,,,0.33
,,,0.49
,,,0.6
,,,0.9
,,,0.9
,,,0.79
,,,0.84
,,,0.9
,,,0.87
,,,0.77
4.7,16915.191,2.494632,0.64
,,,0.58
,,,0.59
,,,0.58
,,,0.65
,,,
,,,0.61
,,,0.59
,,,0.54
,,,0.5
,,,0.39
,,,0.41
,,,0.56
,,,0.76
,,,0.55
,,,0.42
,,,0.43
,,,0.51
,,,0.43
,,,0.45
,,,0.38
,,,0.44
,,,0.54
4.7,,2.64947,0.55
,,,0.7
,,,0.64
,,,0.62
,,,0.85
,,,0.9
,,,0.96
,,,
,,,0.76
,,,0.87
,,,0.87
,,,0.75
,,,0.67
,,,0.81
,,,0.91
,,,
,,,0.78
,,,0.7
,,,0.79
,,,0.98
,,,0.95
,,,0.82
5.0,,2.712396,
,,,0.83
,,,0.82
,,,0.85
,,,0.93
,,,1.0
,,,1.1
,,,1.04
,,,1.17
,,,1.31
,,,1.36
,,,1.13
,,,1.1
,,,1.15
,,,1.12
,,,1.18
,,,0.9
,,,
,,,0.98
,,,1.04
,,,0.93
,,,0.68
5.0,16843.003,2.747695,
,,,0.65
,,,0.67
,,,0.68
,,,0.59
,,,0.61
,,,0.6
,,,0.67
,,,0.73
,,,0.62
,,,0.55
,,,0.6
,,,0.59
,,,0.8
,,,
,,,1.17
,,,1.3
,,,1.31
,,,1.31
,,,1.27
,,,1.41
,,,1.57
,,,1.71
4.9,,2.617738,1.52
,,,1.41
,,,1.42
,,,1.51
,,,1.57
,,,1.41
,,,1.31
,,,1.35
,,,1.42
,,,1.54
,,,1.55
,,,
,,,1.61
,,,1.68
,,,1.57
,,,1.59
,,,1.71
,,,1.74
,,,1.87
,,,1.81
,,,1.68
5.1,,2.688949,
,,,1.84
,,,1.97
,,,2.17
,,,2.23
,,,2.11
,,,2.11
,,,2.12
,,,2.01
,,,2.21
,,,2.26
,,,2.23
,,,2.56
,,,2.77
,,,2.71
,,,
,,,2.32
,,,2.22
,,,2.22
,,,2.26
,,,2.14
,,,2.07
5.0,16943.291,2.725505,2.17
,,,2.19
,,,2.21
,,,2.15
,,,2.12
,,,2.17
,,,2.18
,,,2.28
,,,2.3
,,,2.45
,,,2.5
,,,2.6
,,,2.52
,,,2.42
,,,2.41
,,,2.47
,,,2.51
,,,2.61
,,,2.57
,,,2.43
,,,2.39
,,,2.34
5.4,,2.793043,2.33
,,,2.39
,,,2.35
,,,2.3
,,,2.2
,,,2.13
,,,2.08
,,,2.01
,,,2.07
,,,2.1
,,,2.0
,,,2.01
,,,2.01
,,,1.92
,,,1.95
,,,2.06
,,,1.99
,,,
,,,2.04
,,,2.14
,,,2.18
,,,2.17
5.6,,2.933931,
,,,2.13
,,,2.07
,,,2.14
,,,2.21
,,,2.09
,,,2.13
,,,2.09
,,,2.14
,,,2.23
,,,2.28
,,,2.18
,,,2.24
,,,2.23
,,,2.31
,,,2.29
,,,2.32
,,,2.27
,,,2.31
,,,2.33
,,,2.31
,,,2.09
5.8,16854.295,3.010504,2.14
,,,2.17
,,,2.15
,,,
,,,2.08
,,,2.05
,,,2.03
,,,2.16
,,,2.34
,,,2.38
,,,2.48
,,,2.6
,,,2.64
,,,2.63
,,,2.61
,,,2.59
,,,2.57
,,,2.38
,,,2.38
,,,2.33
,,,2.37
,,,2.37
,,,2.31
6.1,,3.080765,2.31
,,,2.23
,,,2.29
,,,2.42
,,,2.26
,,,2.24
,,,2.12
,,,2.05
,,,2.09
,,,2.0
,,,1.99
,,,2.0
,,,2.03
,,,2.08
,,,2.12
,,,2.17
,,,2.05
,,,2.08
,,,2.1
,,,2.05
,,,2.11
6.1,,3.071629,
,,,2.02
,,,2.01
,,,1.95
,,,1.98
,,,1.95
,,,1.96
,,,2.0
,,,2.03
,,,2.25
,,,2.45
,,,2.64
,,,3.38
,,,3.31
,,,2.79
,,,2.55
,,,3.05
,,,3.31
,,,3.12
,,,2.98
,,,2.67
,,,2.93
6.5,16485.35,2.922213,2.92
,,,3.03
,,,3.12
,,,2.94
,,,2.68
,,,3.04
,,,3.24
,,,3.64
,,,
,,,3.74
,,,3.82
,,,3.53
,,,3.15
,,,2.67
,,,2.66
,,,2.6
,,,2.65
,,,2.87
,,,2.95
,,,3.12
,,,3.31
,,,3.59
,,,3.55
6.8,,2.777101,
,,,3.47
,,,3.33
,,,3.33
,,,3.43
,,,3.52
,,,3.53
,,,
,,,3.57
,,,3.62
,,,3.57
,,,3.56
,,,3.41
,,,3.31
,,,3.07
,,,3.18
,,,3.22
,,,3.01
,,,2.94
,,,
,,,2.92
7.3,,2.614507,2.65
,,,2.62
,,,2.65
,,,2.53
,,,2.65
,,,2.74
,,,2.64
,,,2.69
,,,2.63
,,,2.58
,,,2.5
,,,2.33
,,,2.15
,,,2.08
,,,2.11
,,,2.15
,,,2.16
,,,2.2
,,,
,,,2.13
,,,2.07
,,,2.01
,,,2.14
7.8,16298.262,2.535975,
,,,2.38
,,,2.35
,,,2.37
,,,2.41
,,,2.38
,,,2.36
,,,2.22
,,,2.22
,,,2.12
,,,2.12
,,,2.24
,,,
,,,2.27
,,,2.45
,,,2.52
,,,2.54
,,,2.56
,,,2.46
,,,2.52
,,,2.64
,,,2.63
8.3,,2.54257,
,,,2.49
,,,2.57
,,,2.65
,,,2.66
,,,2.77
,,,2.75
,,,2.59
,,,2.48
,,,2.46
,,,2.6
,,,
,,,2.32
,,,2.43
,,,2.55
,,,2.51
,,,2.49
,,,2.48
,,,2.65
,,,2.71
,,,2.76
8.7,,2.437701,
,,,2.63
,,,2.66
,,,2.75
,,,2.63
,,,2.62
,,,2.66
,,,2.75
,,,2.72
,,,2.67
,,,2.69
,,,2.73
,,,2.78
,,,2.3
,,,2.41
,,,2.43
,,,2.46
,,,2.47
,,,2.62
,,,2.61
,,,2.64
,,,2.55
,,,2.5
9.0,16269.145,2.359914,2.46
,,,2.55
,,,2.7
,,,2.75
,,,2.73
,,,2.68
,,,2.78
,,,
,,,2.7
,,,2.63
,,,2.67
,,,2.73
,,,2.84
,,,2.74
,,,2.79
,,,2.84
,,,2.86
,,,2.93
,,,2.82
,,,2.92
,,,3.01
,,,3.02
9.4,,2.273815,3.05
,,,3.0
,,,3.01
,,,2.99
,,,3.11
,,,3.1
,,,2.98
,,,2.98
,,,2.94
,,,2.94
,,,2.97
,,,3.03
,,,3.07
,,,3.01
,,,3.16
,,,3.27
,,,
,,,3.32
,,,3.54
,,,3.52
,,,3.33
9.5,,2.078063,3.58
,,,3.51
,,,3.42
,,,3.58
,,,3.64
,,,3.72
,,,3.67
,,,3.8
,,,3.69
,,,3.62
,,,3.59
,,,3.5
,,,3.51
,,,3.68
,,,3.6
,,,3.52
,,,3.45
,,,3.53
,,,3.37
,,,3.32
,,,3.31
,,,3.34
9.5,16326.281,1.910212,3.38
,,,3.34
,,,
,,,3.33
,,,3.28
,,,3.15
,,,3.25
,,,3.14
,,,3.2
,,,3.32
,,,3.45
,,,3.4
,,,3.5
,,,3.42
,,,3.31
,,,3.39
,,,3.53
,,,3.52
,,,3.56
,,,3.53
,,,3.5
,,,3.49
,,,3.34
9.6,,1.757047,
,,,3.47
,,,3.52
,,,3.62
,,,3.62
,,,3.7
,,,3.61
,,,3.53
,,,3.55
,,,3.42
,,,3.37
,,,3.3
,,,3.33
,,,3.28
,,,3.25
,,,3.39
,,,3.31
,,,3.28
,,,3.29
,,,3.32
,,,3.31
,,,3.25
9.8,,1.602846,3.24
,,,3.15
,,,3.18
,,,3.31
,,,
,,,3.33
,,,3.34
,,,3.22
,,,3.2
,,,3.28
,,,3.34
,,,3.38
,,,3.32
,,,3.41
,,,3.38
,,,3.35
,,,3.33
,,,3.3
,,,3.24
,,,3.2
,,,3.18
,,,3.17
10.0,16502.754,1.509202,3.11
,,,3.14
,,,3.16
,,,3.19
,,,3.12
,,,3.21
,,,3.33
,,,
,,,3.27
,,,3.38
,,,3.42
,,,3.36
,,,3.33
,,,3.27
,,,3.35
,,,3.38
,,,3.44
,,,3.51
,,,3.41
,,,3.37
,,,3.47
,,,3.36
9.9,,1.361569,
,,,3.39
,,,3.44
,,,3.52
,,,3.53
,,,3.48
,,,3.45
,,,3.43
,,,
,,,3.38
,,,3.37
,,,3.26
,,,3.27
,,,3.32
,,,3.33
,,,3.34
,,,3.32
,,,3.27
,,,3.23
,,,
,,,3.18
,,,3.15
9.9,,1.318775,3.22
,,,3.27
,,,3.33
,,,3.42
,,,3.4
,,,3.37
,,,3.42
,,,3.47
,,,3.52
,,,3.52
,,,3.55
,,,3.57
,,,3.46
,,,3.5
,,,3.61
,,,3.68
,,,3.7
,,,3.77
,,,
,,,3.74
,,,3.72
,,,3.75
,,,3.79
9.8,16582.71,1.170764,
,,,3.77
,,,3.7
,,,3.79
,,,3.8
,,,3.78
,,,3.81
,,,3.69
,,,3.74
,,,3.71
,,,3.64
,,,
,,,3.67
,,,3.63
,,,3.56
,,,3.56
,,,3.6
,,,3.58
,,,3.58
,,,3.6
,,,3.55
9.8,,1.048684,3.58
,,,3.57
,,,3.63
,,,3.53
,,,3.49
,,,3.5
,,,3.55
,,,3.61
,,,3.62
,,,3.59
,,,
,,,3.56
,,,3.64
,,,3.69
,,,3.67
,,,3.69
,,,3.57
,,,3.58
,,,3.51
,,,3.48
9.9,,0.9255024,3.48
,,,3.48
,,,3.49
,,,3.47
,,,3.54
,,,3.56
,,,3.55
,,,3.58
,,,3.57
,,,3.56
,,,3.54
,,,3.5
,,,3.5
,,,3.52
,,,3.54
,,,3.52
,,,3.55
,,,3.7
,,,3.77
,,,3.72
,,,3.73
,,,3.72
,,,3.68
9.9,16743.162,0.869413,3.73
,,,3.8
,,,3.83
,,,3.81
,,,3.72
,,,3.74
,,,3.74
,,,3.71
,,,3.68
,,,3.72
,,,3.7
,,,3.63
,,,3.67
,,,3.66
,,,3.62
,,,3.64
,,,3.68
,,,3.67
,,,3.55
,,,3.64
,,,3.59
,,,3.53
9.6,,0.793302,
,,,3.55
,,,3.47
,,,3.43
,,,3.3
,,,3.32
,,,3.41
,,,3.4
,,,3.4
,,,3.39
,,,3.28
,,,3.31
,,,3.21
,,,3.19
,,,3.08
,,,3.03
,,,3.06
,,,3.01
,,,3.04
,,,3.17
,,,3.15
,,,
9.4,,0.7780127,3.13
,,,3.19
,,,3.25
,,,3.06
,,,3.05
,,,3.06
,,,3.1
,,,3.23
,,,3.16
,,,3.21
,,,3.23
,,,3.17
,,,3.12
,,,3.13
,,,3.14
,,,3.05
,,,3.0
,,,3.01
,,,2.99
,,,2.88
,,,2.82
,,,2.79
9.4,16872.266,0.7440706,2.79
,,,2.83
,,,
,,,2.78
,,,2.84
,,,2.89
,,,2.91
,,,2.92
,,,3.0
,,,2.92
,,,2.85
,,,2.81
,,,2.82
,,,2.82
,,,2.74
,,,2.8
,,,2.86
,,,2.87
,,,2.93
,,,2.88
,,,2.88
,,,2.79
9.5,,0.6911158,
,,,2.83
,,,2.78
,,,2.82
,,,2.79
,,,2.71
,,,2.71
,,,2.64
,,,2.57
,,,2.58
,,,2.53
,,,2.42
,,,2.47
,,,2.48
,,,2.42
,,,2.47
,,,2.44
,,,2.34
,,,2.38
,,,2.34
,,,2.51
,,,2.4
,,,2.33
9.5,,0.6638685,2.45
,,,2.49
,,,2.58
,,,
,,,2.47
,,,2.52
